Folder Name,batch_size,learning_rate,dropout_rate,n_hidden_layers,first_layer_nodes,epochs,patience,Test Accuracy,Test F1 Score,Test Precision,Test Recall,Test Loss,Validation Loss Min,Validation Accuracy Max,Validation F1 Max,VALIDATION MACRO F1,Val F1 @ Min Loss
BS_128_LR_0.0001_DO_0.2_FLN_128_EP_100_PAT_15_HL_3,128,0.0001,0.2,3,128,100,15,0.978,0.978,0.9782,0.978,0.0869,0.0652,0.987,0.987,0.9797,0.9799999348557342
BS_64_LR_0.001_DO_0.2_FLN_256_EP_100_PAT_15_HL_3,64,0.001,0.2,3,256,100,15,0.983,0.983,0.9831,0.983,0.0733,0.0585,0.9865,0.9865,0.9793,0.9794862782381324
BS_32_LR_0.0001_DO_0.3_FLN_64_EP_100_PAT_15_HL_2,32,0.0001,0.3,2,64,100,15,0.979,0.979,0.9791,0.979,0.0895,0.0687,0.9875,0.9875,0.979,0.9794932584718559
BS_64_LR_0.0001_DO_0.2_FLN_128_EP_100_PAT_15_HL_2,64,0.0001,0.2,2,128,100,15,0.979,0.979,0.9792,0.979,0.0851,0.0651,0.9825,0.9825,0.979,0.9795019854453887
BS_128_LR_0.001_DO_0.4_FLN_128_EP_100_PAT_15_HL_2,128,0.001,0.4,2,128,100,15,0.983,0.983,0.983,0.983,0.0741,0.0596,0.992,0.992,0.9788,0.9789802455958243
BS_32_LR_0.001_DO_0.3_FLN_64_EP_100_PAT_15_HL_2,32,0.001,0.3,2,64,100,15,0.985,0.985,0.985,0.985,0.069,0.0573,0.9905,0.9905,0.9788,0.9789802455958243
BS_128_LR_0.01_DO_0.3_FLN_256_EP_100_PAT_15_HL_2,128,0.01,0.3,2,256,100,15,0.985,0.985,0.9851,0.985,0.1015,0.0825,0.9855,0.9855,0.9788,0.9790003206019544
BS_64_LR_0.0001_DO_0.2_FLN_64_EP_100_PAT_15_HL_3,64,0.0001,0.2,3,64,100,15,0.982,0.982,0.9821,0.982,0.0881,0.0686,0.979,0.979,0.9787,0.9790026707509489
BS_32_LR_0.01_DO_0.2_FLN_256_EP_100_PAT_15_HL_3,32,0.01,0.2,3,256,100,15,0.974,0.974,0.9742,0.974,0.1009,0.0768,0.98,0.98,0.9785,0.9784968337305882
BS_128_LR_0.0001_DO_0.4_FLN_256_EP_100_PAT_15_HL_2,128,0.0001,0.4,2,256,100,15,0.978,0.978,0.9782,0.978,0.0936,0.0698,0.9865,0.9865,0.9785,0.9789979019505731
BS_64_LR_0.001_DO_0.4_FLN_128_EP_100_PAT_15_HL_3,64,0.001,0.4,3,128,100,15,0.983,0.983,0.983,0.983,0.0792,0.0623,0.9835,0.9835,0.9783,0.9784820321538953
BS_32_LR_0.001_DO_0.2_FLN_128_EP_100_PAT_15_HL_2,32,0.001,0.2,2,128,100,15,0.984,0.984,0.984,0.984,0.0726,0.0564,0.9885,0.9885,0.9783,0.9784820321538953
BS_64_LR_0.0001_DO_0.3_FLN_128_EP_100_PAT_15_HL_2,64,0.0001,0.3,2,128,100,15,0.977,0.977,0.9772,0.977,0.0852,0.0656,0.9905,0.9905,0.9782,0.9784958825904241
BS_32_LR_0.001_DO_0.4_FLN_256_EP_100_PAT_15_HL_3,32,0.001,0.4,3,256,100,15,0.984,0.984,0.9841,0.984,0.0837,0.0624,0.985,0.985,0.9778,0.9779796893840637
BS_128_LR_0.0001_DO_0.2_FLN_256_EP_100_PAT_15_HL_2,128,0.0001,0.2,2,256,100,15,0.977,0.977,0.9772,0.977,0.0869,0.068,0.9875,0.9875,0.9777,0.9779908767842994
BS_64_LR_0.01_DO_0.3_FLN_128_EP_100_PAT_15_HL_2,64,0.01,0.3,2,128,100,15,0.983,0.983,0.9831,0.983,0.0785,0.0704,0.9905,0.9905,0.9777,0.9779832700572361
BS_128_LR_0.01_DO_0.2_FLN_64_EP_100_PAT_15_HL_3,128,0.01,0.2,3,64,100,15,0.979,0.979,0.9791,0.979,0.0949,0.0704,0.9825,0.9825,0.9773,0.9774771938011638
BS_32_LR_0.001_DO_0.2_FLN_256_EP_100_PAT_15_HL_3,32,0.001,0.2,3,256,100,15,0.981,0.981,0.981,0.981,0.0702,0.0594,0.984,0.984,0.9768,0.9769696679129544
BS_32_LR_0.001_DO_0.4_FLN_64_EP_100_PAT_15_HL_3,32,0.001,0.4,3,64,100,15,0.98,0.98,0.9801,0.98,0.0932,0.068,0.9815,0.9815,0.9768,0.9769745406536665
BS_32_LR_0.01_DO_0.2_FLN_128_EP_100_PAT_15_HL_3,32,0.01,0.2,3,128,100,15,0.978,0.978,0.9781,0.978,0.0951,0.0762,0.9885,0.9885,0.9767,0.9769907112353485
BS_128_LR_0.01_DO_0.2_FLN_64_EP_100_PAT_15_HL_2,128,0.01,0.2,2,64,100,15,0.982,0.982,0.982,0.982,0.0811,0.0653,0.9905,0.9905,0.9766,0.9769749831097445
BS_128_LR_0.01_DO_0.2_FLN_256_EP_100_PAT_15_HL_2,128,0.01,0.2,2,256,100,15,0.98,0.98,0.9801,0.98,0.097,0.0698,0.9905,0.9905,0.9758,0.9759687426353709
BS_128_LR_0.0001_DO_0.4_FLN_128_EP_100_PAT_15_HL_2,128,0.0001,0.4,2,128,100,15,0.98,0.98,0.9801,0.98,0.1081,0.0854,0.9855,0.9855,0.9755,0.9759778291466619
BS_128_LR_0.0001_DO_0.3_FLN_128_EP_100_PAT_15_HL_3,128,0.0001,0.3,3,128,100,15,0.975,0.975,0.9752,0.975,0.0916,0.0671,0.989,0.989,0.9753,0.9759910583081052
BS_64_LR_0.001_DO_0.2_FLN_128_EP_100_PAT_15_HL_2,64,0.001,0.2,2,128,100,15,0.984,0.984,0.984,0.984,0.0739,0.0613,0.9865,0.9865,0.9753,0.9754655882376713
BS_32_LR_0.001_DO_0.3_FLN_128_EP_100_PAT_15_HL_2,32,0.001,0.3,2,128,100,15,0.984,0.984,0.9841,0.984,0.0853,0.065,0.9855,0.9855,0.9753,0.9754891422341057
BS_64_LR_0.0001_DO_0.3_FLN_64_EP_100_PAT_15_HL_3,64,0.0001,0.3,3,64,100,15,0.978,0.978,0.9781,0.978,0.1017,0.0781,0.984,0.984,0.9752,0.9759807253454954
BS_128_LR_0.0001_DO_0.3_FLN_128_EP_100_PAT_15_HL_2,128,0.0001,0.3,2,128,100,15,0.979,0.979,0.9791,0.979,0.1052,0.085,0.9785,0.9785,0.975,0.9754750136783895
BS_128_LR_0.01_DO_0.2_FLN_128_EP_100_PAT_15_HL_3,128,0.01,0.2,3,128,100,15,0.977,0.977,0.9771,0.977,0.1006,0.0817,0.9755,0.9755,0.9749,0.9754720462134464
BS_128_LR_0.0001_DO_0.2_FLN_64_EP_100_PAT_15_HL_3,128,0.0001,0.2,3,64,100,15,0.978,0.978,0.9781,0.978,0.1137,0.09,0.9865,0.9865,0.9749,0.9754720462134464
BS_32_LR_0.001_DO_0.3_FLN_256_EP_100_PAT_15_HL_2,32,0.001,0.3,2,256,100,15,0.97,0.9699,0.9726,0.97,0.0718,0.0575,0.9895,0.9895,0.9733,0.9734535867389557
BS_64_LR_0.0001_DO_0.2_FLN_64_EP_100_PAT_15_HL_2,64,0.0001,0.2,2,64,100,15,0.978,0.978,0.9781,0.978,0.1102,0.086,0.977,0.977,0.973,0.9734962151090987
BS_64_LR_0.0001_DO_0.3_FLN_64_EP_100_PAT_15_HL_2,64,0.0001,0.3,2,64,100,15,0.978,0.978,0.9781,0.978,0.1001,0.082,0.9875,0.9875,0.973,0.9734620333028747
BS_64_LR_0.01_DO_0.3_FLN_256_EP_100_PAT_15_HL_3,64,0.01,0.3,3,256,100,15,0.975,0.975,0.9752,0.975,0.1068,0.0929,0.973,0.973,0.9727,0.9729673978999521
BS_64_LR_0.01_DO_0.3_FLN_64_EP_100_PAT_15_HL_2,64,0.01,0.3,2,64,100,15,0.981,0.981,0.9812,0.981,0.0864,0.0797,0.9915,0.9915,0.9726,0.9729523945731926
BS_128_LR_0.0001_DO_0.2_FLN_128_EP_100_PAT_15_HL_2,128,0.0001,0.2,2,128,100,15,0.978,0.978,0.9781,0.978,0.1009,0.0825,0.98,0.98,0.9721,0.972448309264357
BS_64_LR_0.01_DO_0.3_FLN_64_EP_100_PAT_15_HL_3,64,0.01,0.3,3,64,100,15,0.976,0.976,0.976,0.976,0.1134,0.105,0.973,0.973,0.9718,0.9729656730814011
BS_128_LR_0.01_DO_0.3_FLN_128_EP_100_PAT_15_HL_2,128,0.01,0.3,2,128,100,15,0.97,0.97,0.9731,0.97,0.1113,0.077,0.981,0.981,0.9717,0.9719159370012842
BS_32_LR_0.01_DO_0.3_FLN_128_EP_100_PAT_15_HL_2,32,0.01,0.3,2,128,100,15,0.981,0.981,0.9811,0.981,0.0902,0.0755,0.972,0.972,0.9716,0.9719816016045327
BS_128_LR_0.0001_DO_0.2_FLN_64_EP_100_PAT_15_HL_2,128,0.0001,0.2,2,64,100,15,0.976,0.976,0.9762,0.976,0.1327,0.1157,0.979,0.979,0.9698,0.9704985332820248
BS_32_LR_0.01_DO_0.2_FLN_64_EP_100_PAT_15_HL_3,32,0.01,0.2,3,64,100,15,0.979,0.979,0.9793,0.979,0.094,0.0877,0.97,0.9699,0.9698,0.9699181794502693
BS_128_LR_0.0001_DO_0.4_FLN_64_EP_100_PAT_15_HL_2,128,0.0001,0.4,2,64,100,15,0.971,0.971,0.9714,0.971,0.1558,0.1385,0.974,0.974,0.9696,0.9699550422025965
BS_64_LR_0.0001_DO_0.4_FLN_64_EP_100_PAT_15_HL_2,64,0.0001,0.4,2,64,100,15,0.973,0.973,0.9731,0.973,0.1118,0.09,0.985,0.985,0.9694,0.9699497801158038
BS_64_LR_0.01_DO_0.2_FLN_128_EP_100_PAT_15_HL_3,64,0.01,0.2,3,128,100,15,0.978,0.978,0.9781,0.978,0.0989,0.0718,0.9915,0.9915,0.9692,0.9699642777209143
BS_64_LR_0.01_DO_0.2_FLN_256_EP_100_PAT_15_HL_3,64,0.01,0.2,3,256,100,15,0.974,0.974,0.9742,0.974,0.1003,0.0756,0.972,0.9719,0.9691,0.96941941735361
BS_32_LR_0.01_DO_0.2_FLN_256_EP_100_PAT_15_HL_2,32,0.01,0.2,2,256,100,15,0.981,0.981,0.9812,0.981,0.089,0.0788,0.984,0.984,0.9689,0.9694452234402696
BS_64_LR_0.01_DO_0.2_FLN_64_EP_100_PAT_15_HL_2,64,0.01,0.2,2,64,100,15,0.979,0.979,0.9792,0.979,0.0804,0.0733,0.986,0.986,0.9687,0.9688972994172192
BS_128_LR_0.0001_DO_0.3_FLN_64_EP_100_PAT_15_HL_2,128,0.0001,0.3,2,64,100,15,0.97,0.97,0.9705,0.97,0.1552,0.1383,0.976,0.976,0.9684,0.9689126675389913
BS_32_LR_0.01_DO_0.2_FLN_64_EP_100_PAT_15_HL_2,32,0.01,0.2,2,64,100,15,0.973,0.973,0.9733,0.973,0.0895,0.0761,0.9755,0.9755,0.9672,0.9673878360481554
BS_64_LR_0.01_DO_0.4_FLN_256_EP_100_PAT_15_HL_2,64,0.01,0.4,2,256,100,15,0.969,0.969,0.9697,0.969,0.1115,0.1026,0.9675,0.9674,0.9671,0.9673854748255192
BS_64_LR_0.01_DO_0.2_FLN_256_EP_100_PAT_15_HL_2,64,0.01,0.2,2,256,100,15,0.978,0.978,0.9783,0.978,0.0759,0.0721,0.98,0.98,0.9662,0.9663627149664401
BS_128_LR_0.01_DO_0.4_FLN_256_EP_100_PAT_15_HL_2,128,0.01,0.4,2,256,100,15,0.972,0.972,0.9726,0.972,0.1129,0.1006,0.965,0.9648,0.9645,0.9648358307308406
BS_128_LR_0.01_DO_0.2_FLN_256_EP_100_PAT_15_HL_3,128,0.01,0.2,3,256,100,15,0.972,0.972,0.9746,0.972,0.0982,0.0778,0.9815,0.9815,0.9643,0.9644571574738042
BS_128_LR_0.01_DO_0.3_FLN_128_EP_100_PAT_15_HL_3,128,0.01,0.3,3,128,100,15,0.965,0.9649,0.9683,0.965,0.1163,0.0941,0.9705,0.9705,0.9641,0.9644763799625407
BS_64_LR_0.01_DO_0.4_FLN_128_EP_100_PAT_15_HL_2,64,0.01,0.4,2,128,100,15,0.968,0.968,0.9707,0.968,0.1438,0.1255,0.9645,0.9645,0.9641,0.9644628376289827
BS_128_LR_0.0001_DO_0.3_FLN_64_EP_100_PAT_15_HL_3,128,0.0001,0.3,3,64,100,15,0.965,0.9649,0.9677,0.965,0.1457,0.119,0.983,0.983,0.9639,0.9644275495369172
BS_32_LR_0.01_DO_0.3_FLN_64_EP_100_PAT_15_HL_2,32,0.01,0.3,2,64,100,15,0.97,0.97,0.9705,0.97,0.1151,0.0907,0.9765,0.9765,0.9631,0.9638402880399741
BS_128_LR_0.01_DO_0.4_FLN_256_EP_100_PAT_15_HL_3,128,0.01,0.4,3,256,100,15,0.961,0.9609,0.9655,0.961,0.1575,0.1294,0.964,0.9639,0.9631,0.9639109117355702
BS_128_LR_0.01_DO_0.3_FLN_64_EP_100_PAT_15_HL_2,128,0.01,0.3,2,64,100,15,0.963,0.963,0.9642,0.963,0.1109,0.0893,0.9755,0.9755,0.9628,0.9630053723514479
BS_128_LR_0.01_DO_0.3_FLN_64_EP_100_PAT_15_HL_3,128,0.01,0.3,3,64,100,15,0.961,0.9609,0.9629,0.961,0.1322,0.1031,0.963,0.963,0.9627,0.9630001935157761
BS_128_LR_0.01_DO_0.3_FLN_256_EP_100_PAT_15_HL_3,128,0.01,0.3,3,256,100,15,0.975,0.975,0.9753,0.975,0.1107,0.0887,0.9645,0.9645,0.962,0.9628609349517899
BS_128_LR_0.0001_DO_0.4_FLN_64_EP_100_PAT_15_HL_3,128,0.0001,0.4,3,64,100,15,0.964,0.964,0.9662,0.964,0.1668,0.145,0.9635,0.9635,0.9617,0.9619864587624247
BS_64_LR_0.01_DO_0.3_FLN_256_EP_100_PAT_15_HL_2,64,0.01,0.3,2,256,100,15,0.961,0.961,0.9624,0.961,0.1274,0.1046,0.9775,0.9775,0.9608,0.9610093430863219
BS_32_LR_0.01_DO_0.4_FLN_64_EP_100_PAT_15_HL_2,32,0.01,0.4,2,64,100,15,0.975,0.975,0.9756,0.975,0.1048,0.0952,0.9605,0.9603,0.96,0.9603377553711409
BS_64_LR_0.01_DO_0.4_FLN_64_EP_100_PAT_15_HL_3,64,0.01,0.4,3,64,100,15,0.968,0.968,0.9685,0.968,0.1543,0.1376,0.9605,0.9603,0.9599,0.9602789576904599
BS_32_LR_0.01_DO_0.3_FLN_64_EP_100_PAT_15_HL_3,32,0.01,0.3,3,64,100,15,0.959,0.9588,0.9643,0.959,0.1591,0.1263,0.9605,0.9604,0.9598,0.9604170432130139
BS_64_LR_0.01_DO_0.2_FLN_64_EP_100_PAT_15_HL_3,64,0.01,0.2,3,64,100,15,0.963,0.963,0.9643,0.963,0.1038,0.0938,0.989,0.989,0.9584,0.9587115982674483
BS_64_LR_0.01_DO_0.4_FLN_256_EP_100_PAT_15_HL_3,64,0.01,0.4,3,256,100,15,0.967,0.967,0.9681,0.967,0.1385,0.1242,0.959,0.9588,0.958,0.9587932735471699
BS_128_LR_0.01_DO_0.4_FLN_128_EP_100_PAT_15_HL_2,128,0.01,0.4,2,128,100,15,0.961,0.961,0.9627,0.961,0.1122,0.0985,0.959,0.9587,0.9568,0.9571730814297778
BS_32_LR_0.01_DO_0.3_FLN_256_EP_100_PAT_15_HL_2,32,0.01,0.3,2,256,100,15,0.971,0.971,0.9715,0.971,0.132,0.1175,0.982,0.982,0.9563,0.9579083111360233
BS_32_LR_0.01_DO_0.3_FLN_128_EP_100_PAT_15_HL_3,32,0.01,0.3,3,128,100,15,0.955,0.9549,0.9578,0.955,0.1228,0.1133,0.9545,0.9541,0.9536,0.9540814373912463
BS_128_LR_0.01_DO_0.4_FLN_64_EP_100_PAT_15_HL_2,128,0.01,0.4,2,64,100,15,0.96,0.96,0.9622,0.96,0.1155,0.097,0.9545,0.9541,0.9533,0.9541187184665821
BS_64_LR_0.01_DO_0.4_FLN_128_EP_100_PAT_15_HL_3,64,0.01,0.4,3,128,100,15,0.959,0.959,0.9609,0.959,0.1344,0.1234,0.964,0.9639,0.9521,0.9525561266350413
BS_64_LR_0.01_DO_0.3_FLN_128_EP_100_PAT_15_HL_3,64,0.01,0.3,3,128,100,15,0.957,0.9569,0.9605,0.957,0.1077,0.1121,0.9665,0.9664,0.9496,0.94992074216783
BS_32_LR_0.01_DO_0.4_FLN_128_EP_100_PAT_15_HL_2,32,0.01,0.4,2,128,100,15,0.951,0.9508,0.9548,0.951,0.1619,0.1497,0.9465,0.9458,0.9451,0.9457770679523944
BS_32_LR_0.01_DO_0.4_FLN_256_EP_100_PAT_15_HL_2,32,0.01,0.4,2,256,100,15,0.947,0.9467,0.9522,0.947,0.1282,0.1309,0.9425,0.9417,0.9409,0.9416584082736821
BS_128_LR_0.01_DO_0.4_FLN_64_EP_100_PAT_15_HL_3,128,0.01,0.4,3,64,100,15,0.943,0.9427,0.9489,0.943,0.1457,0.1295,0.972,0.972,0.9388,0.939499818578997
BS_32_LR_0.01_DO_0.3_FLN_256_EP_100_PAT_15_HL_3,32,0.01,0.3,3,256,100,15,0.944,0.9436,0.9503,0.944,0.1297,0.1288,0.9665,0.9664,0.9377,0.9385485526840455
BS_128_LR_0.01_DO_0.4_FLN_128_EP_100_PAT_15_HL_3,128,0.01,0.4,3,128,100,15,0.944,0.9437,0.95,0.944,0.1513,0.1344,0.9605,0.9603,0.9355,0.9363521431746213
BS_32_LR_0.01_DO_0.4_FLN_256_EP_100_PAT_15_HL_3,32,0.01,0.4,3,256,100,15,0.937,0.9362,0.9461,0.937,0.1514,0.1516,0.935,0.9336,0.9316,0.9319750065669851
BS_64_LR_0.01_DO_0.4_FLN_64_EP_100_PAT_15_HL_2,64,0.01,0.4,2,64,100,15,0.933,0.9322,0.942,0.933,0.1399,0.1358,0.96,0.96,0.9313,0.9321132697539172
BS_32_LR_0.01_DO_0.4_FLN_64_EP_100_PAT_15_HL_3,32,0.01,0.4,3,64,100,15,0.93,0.929,0.9406,0.93,0.1921,0.191,0.961,0.9613,0.9271,0.927904215768061
BS_32_LR_0.01_DO_0.4_FLN_128_EP_100_PAT_15_HL_3,32,0.01,0.4,3,128,100,15,0.922,0.9208,0.9336,0.922,0.1692,0.1671,0.9595,0.9593,0.9245,0.9249610020978146
